"F2","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F19","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F42","F43","F44","F45","F47","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F64","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F87","F88","F89","F90","F91"
0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,-0.0240201758896088
0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,-5.46608953649264
0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,2.06187023235608
0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,10.8382641459379
0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,2.98350019139816
0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,3.25593677319685
0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-1.34317778871116
0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,-0.658642154479553
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,3.34538559946152
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,-15.650073950669
0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,5.39760799180201
0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-4.25445914375174
0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,-1.88154344280668
0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,-0.753413745896637
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,3.8197034517275
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,-1.17748286035969
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,3.19078520347854
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,2.78260061403159
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,-1.20981067899181
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.73755392937005
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,3.3815453915692
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48037583306483
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,2.74065564508312
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,4.27638795706492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0.821940205653908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,-5.21794474467653
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98160228282147
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,2.17619931822588
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10799623986764
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,6.35580176558388
0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,-0.578053262852952
0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,-0.361770693900407
0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,2.67878703626501
0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,-4.89107481541476
0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,2.03989302493228
0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0.174358974,0,0.17,0,0,0,0,0,0.170751547,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,7.83069882313876
0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,0.23,0,0,0,0,0,0.554705882,0.405882353,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588,0,0.23,0,1.50337173272694
0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.23752530291201
0.23,0,0,0,0,0,0.554705882,0.405882353,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588,0,0.23,0,0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,0.502238632603277
0.23,0,0,0,0,0,0.554705882,0.405882353,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45986785120677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,1.48281883942448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.554705882,0.405882353,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588,0,0.23,0,6.1991543253503
0,0,0,0,0.157142857,0,0.689285714,0.189285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1.39073745256042
0,0,0,0,0.157142857,0,0.689285714,0.189285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0,0,0.2,0,0.377777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,3.09185673104869
0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.157142857,0,0.689285714,0.189285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0.656583973412016
0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.2,0,0.377777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,-20.6955878354236
0,0,0,0,0.2,0,0.377777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0.157142857,0,0.689285714,0.189285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,3.25127630509022
0,0,0,0,0.2,0,0.377777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,2.40662415494373
